epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.9182,2.07162,3.61694,1.82852,0,0,0,0,nan,nan,nan,0.0706977,0.00325581,0.00325581
2,35.5518,1.96856,2.89931,1.75387,0.20022,0.00909,0.00011,2e-05,nan,nan,nan,0.0406324,0.00652391,0.00652391
3,50.1489,1.92441,2.82834,1.7418,0.20314,0.01999,0.00063,0.00023,nan,nan,nan,0.0105012,0.00972602,0.00972602
4,64.5177,1.86908,2.71888,1.7187,0.25737,0.07575,0.03032,0.01298,2.12729,inf,2.42171,0.009703,0.009703,0.009703
5,78.8743,1.78977,2.57633,1.65084,0.35512,0.09348,0.04161,0.01856,2.0018,11.7043,2.01349,0.009604,0.009604,0.009604
6,93.7687,1.74166,2.53674,1.61611,0.34659,0.11154,0.05587,0.02634,1.78634,7.50254,1.81889,0.009505,0.009505,0.009505
7,108.413,1.77767,2.51143,1.61895,0.36186,0.11423,0.06331,0.03027,1.82802,3.5917,1.82763,0.009406,0.009406,0.009406
8,122.814,1.74369,2.42993,1.62256,0.46081,0.0966,0.05185,0.02553,1.94432,3.65521,1.88281,0.009307,0.009307,0.009307
9,137.105,1.7111,2.42475,1.60339,0.58892,0.10094,0.07521,0.03674,1.78743,2.5006,1.73722,0.009208,0.009208,0.009208
10,152.015,1.74103,2.37817,1.61351,0.36299,0.19652,0.0873,0.04452,1.74799,2.95854,1.74588,0.009109,0.009109,0.009109
11,166.49,1.68682,2.36058,1.5906,0.69542,0.09461,0.07636,0.03874,1.74897,2.72651,1.70936,0.00901,0.00901,0.00901
12,181.8,1.70346,2.34795,1.57967,0.48042,0.13264,0.074,0.03799,1.85248,2.96982,1.87013,0.008911,0.008911,0.008911
13,196.014,1.68228,2.31995,1.581,0.63429,0.1187,0.08784,0.04215,1.77383,2.52588,1.75857,0.008812,0.008812,0.008812
14,210.576,1.68223,2.27906,1.55701,0.48263,0.13942,0.08083,0.03801,1.87451,2.69575,1.83392,0.008713,0.008713,0.008713
15,225.222,1.68797,2.29468,1.57694,0.61028,0.14442,0.08188,0.04075,1.77103,2.70474,1.76474,0.008614,0.008614,0.008614
