epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,674.676,1.6312,2.67979,1.48298,0.40769,0.29773,0.20761,0.11413,1.49451,2.35138,1.41589,0.000234281,0.000234281,0.000234281
2,972.13,1.50614,1.89399,1.39771,0.46278,0.16791,0.11627,0.05639,1.79004,3.00901,1.76065,0.000448903,0.000448903,0.000448903
3,1310.93,1.54055,1.85275,1.42951,0.56328,0.20085,0.1487,0.07351,1.80973,2.49226,1.84597,0.000639963,0.000639963,0.000639963
4,1628.99,1.5551,1.84459,1.44968,0.54099,0.22444,0.17317,0.08857,1.60925,2.81329,1.61627,0.000607971,0.000607971,0.000607971
5,2114.69,1.50236,1.7628,1.40745,0.50669,0.25784,0.23286,0.12217,1.58804,2.23658,1.57251,0.000572628,0.000572628,0.000572628
6,2543.35,1.47505,1.66392,1.41625,0.57778,0.25017,0.2375,0.13488,1.52735,1.9431,1.54511,0.000537285,0.000537285,0.000537285
7,2745.14,1.44183,1.56394,1.36205,0.47612,0.26258,0.25021,0.14789,1.48602,1.65553,1.46495,0.000501942,0.000501942,0.000501942
8,2964.42,1.39926,1.50628,1.34244,0.48269,0.29735,0.26157,0.14551,1.49902,1.56458,1.49257,0.000466599,0.000466599,0.000466599
9,3169.12,1.38971,1.4569,1.33039,0.65054,0.27672,0.29004,0.16387,1.49339,1.59707,1.49938,0.000431256,0.000431256,0.000431256
10,3340.7,1.3544,1.43816,1.31881,0.51033,0.31433,0.29636,0.17526,1.43877,1.46442,1.44554,0.000395913,0.000395913,0.000395913
11,3825.38,1.41186,1.44536,1.38255,0.58859,0.30749,0.29526,0.16771,1.49288,1.59826,1.51426,0.00036057,0.00036057,0.00036057
12,4325.65,1.37573,1.30568,1.34078,0.60199,0.30305,0.31322,0.1806,1.44592,1.45614,1.45351,0.000325227,0.000325227,0.000325227
13,4724.97,1.35175,1.27308,1.32561,0.45146,0.32826,0.34219,0.20346,1.40299,1.4234,1.42876,0.000289884,0.000289884,0.000289884
14,5199.58,1.33667,1.19151,1.32043,0.40432,0.32301,0.34424,0.20265,1.41388,1.38716,1.4559,0.000254541,0.000254541,0.000254541
15,5475.49,1.30597,1.13695,1.30277,0.40287,0.3379,0.33818,0.19836,1.43818,1.38674,1.45446,0.000219198,0.000219198,0.000219198
16,5745.13,1.26683,1.09107,1.26898,0.38452,0.37307,0.36787,0.22623,1.34752,1.24149,1.36911,0.000183855,0.000183855,0.000183855
17,6000.69,1.2447,0.9874,1.24047,0.42568,0.41377,0.38845,0.23083,1.3732,1.20583,1.38644,0.000148512,0.000148512,0.000148512
18,6191.97,1.21764,0.95512,1.23401,0.41003,0.40218,0.40881,0.24781,1.34791,1.22788,1.38713,0.000113169,0.000113169,0.000113169
19,7087.13,1.17574,0.88466,1.20627,0.44715,0.41957,0.40901,0.24969,1.34496,1.14654,1.38326,7.7826e-05,7.7826e-05,7.7826e-05
20,7582.07,1.14592,0.85718,1.19906,0.51812,0.38148,0.4124,0.25108,1.35093,1.1581,1.38299,4.2483e-05,4.2483e-05,4.2483e-05
