epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9817,0.69197,3.64647,1.227,0.19028,0.92754,0.39459,0.29179,0.80925,3.60838,1.63327,9.996e-05,9.996e-05,9.996e-05
2,17.2158,0.63849,2.8147,1.16625,0.21465,0.98188,0.70064,0.55992,0.60534,3.54194,1.46211,0.000200227,0.000200227,0.000200227
3,22.4911,0.63825,1.79646,1.15901,0.06804,1,0.79394,0.55722,0.86708,3.18647,1.87184,0.000293425,0.000293425,0.000293425
4,28.6837,0.68373,1.38244,1.21724,0.99059,0.31014,0.84033,0.63754,0.80451,2.58029,1.67823,0.000379555,0.000379555,0.000379555
5,34.5733,0.61765,1.25219,1.12392,1,0.37263,0.82366,0.59137,0.8126,2.75394,1.63809,0.000458616,0.000458616,0.000458616
6,39.5022,0.5807,1.17605,1.10196,0.97728,0.4248,0.7388,0.49863,0.93937,2.47788,1.77485,0.000530609,0.000530609,0.000530609
7,44.3974,0.62177,1.1527,1.15339,0.8908,0.26449,0.58503,0.31583,1.64735,3.21844,2.53337,0.000572628,0.000572628,0.000572628
8,49.5824,0.63685,1.11409,1.15274,0.89696,0.54156,0.83304,0.62955,0.86555,2.42881,1.69485,0.000549066,0.000549066,0.000549066
9,54.4417,0.59831,1.03224,1.1161,0.91855,0.66286,0.85827,0.60109,1.25514,1.83458,2.02766,0.000525504,0.000525504,0.000525504
10,59.2823,0.5839,0.97657,1.08355,0.74922,0.73551,0.81515,0.5458,1.23753,1.76232,2.10336,0.000501942,0.000501942,0.000501942
11,63.9943,0.59611,0.95666,1.12398,0.91136,0.77217,0.88032,0.58394,1.16867,1.85764,2.10945,0.00047838,0.00047838,0.00047838
12,68.8683,0.57689,0.9168,1.08194,0.79666,0.55297,0.70874,0.50543,1.51541,2.56351,2.31306,0.000454818,0.000454818,0.000454818
13,73.5613,0.56853,0.89684,1.09448,0.93405,0.81264,0.87854,0.70411,0.78159,1.32778,1.51572,0.000431256,0.000431256,0.000431256
14,78.2145,0.54511,0.78507,1.06478,0.94149,0.83333,0.88999,0.73005,0.81675,1.24021,1.57318,0.000407694,0.000407694,0.000407694
15,82.8576,0.53237,0.80369,1.07979,0.96058,0.87319,0.92929,0.77685,0.79633,1.1056,1.54203,0.000384132,0.000384132,0.000384132
16,87.4633,0.51682,0.77742,1.04149,0.9738,0.83931,0.93779,0.78346,0.8021,0.98765,1.55064,0.00036057,0.00036057,0.00036057
17,92.3879,0.5036,0.7552,1.05097,0.86303,0.91704,0.96654,0.79678,0.79223,1.02095,1.53922,0.000337008,0.000337008,0.000337008
18,97.2335,0.5368,0.72688,1.08559,0.71823,0.88846,0.92692,0.65018,1.15543,1.40366,2.00783,0.000313446,0.000313446,0.000313446
19,101.878,0.50859,0.72584,1.04734,0.95067,0.95652,0.99331,0.80864,0.83434,0.98893,1.56755,0.000289884,0.000289884,0.000289884
20,106.592,0.47747,0.66373,1.02334,0.97302,0.98223,0.99392,0.84486,0.70692,0.91155,1.41445,0.000266322,0.000266322,0.000266322
21,147.727,0.32642,0.82028,0.94172,0.99069,0.9058,0.991,0.80136,0.71969,0.9008,1.49196,0.00024276,0.00024276,0.00024276
22,152.949,0.31717,0.75517,0.95069,0.98075,0.96487,0.9934,0.78519,0.90972,1.16826,1.67241,0.000219198,0.000219198,0.000219198
23,157.608,0.30426,0.71761,0.92478,0.9553,0.93544,0.98456,0.84265,0.69675,0.80067,1.4065,0.000195636,0.000195636,0.000195636
24,162.284,0.29819,0.67897,0.92193,0.99221,0.98395,0.994,0.85805,0.62691,0.73698,1.35135,0.000172074,0.000172074,0.000172074
25,166.953,0.28775,0.65459,0.9326,0.99116,0.98913,0.99458,0.87607,0.60063,0.68599,1.31676,0.000148512,0.000148512,0.000148512
26,171.705,0.26935,0.63706,0.88873,0.98856,0.979,0.995,0.87792,0.5876,0.63292,1.28611,0.00012495,0.00012495,0.00012495
27,176.295,0.27272,0.61605,0.91818,0.97376,0.98567,0.99409,0.87455,0.58174,0.6426,1.27123,0.000101388,0.000101388,0.000101388
28,181.15,0.25067,0.58935,0.88594,0.98472,0.98039,0.99493,0.87135,0.60153,0.64414,1.29259,7.7826e-05,7.7826e-05,7.7826e-05
29,185.738,0.24567,0.57283,0.88402,0.97561,0.98551,0.99486,0.88847,0.57451,0.63378,1.26457,5.4264e-05,5.4264e-05,5.4264e-05
30,190.345,0.23417,0.56349,0.88417,0.97927,0.97405,0.9946,0.88883,0.57619,0.62787,1.26634,3.0702e-05,3.0702e-05,3.0702e-05
