epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.4237,1.73282,3.88996,1.58955,0.39362,0.2243,0.14727,0.07769,1.48852,3.04608,1.36262,0.000232465,0.000232465,0.000232465
2,63.4337,1.53756,2.04613,1.34307,0.56209,0.2341,0.18784,0.09808,1.51979,2.90714,1.44727,0.000423889,0.000423889,0.000423889
3,78.3638,1.55706,1.93176,1.38396,0.34169,0.25948,0.14267,0.06897,1.63361,2.93101,1.51396,0.000568189,0.000568189,0.000568189
4,92.8015,1.52319,1.82999,1.36601,0.47679,0.23983,0.1623,0.08473,1.57304,2.34732,1.44834,0.000501942,0.000501942,0.000501942
