epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1793,1.71523,3.38636,1.56606,0.41564,0.22843,0.18396,0.10311,1.43473,2.99712,1.35469,0.000232465,0.000232465,0.000232465
2,37.1385,1.46226,1.84658,1.30946,0.41706,0.27629,0.20269,0.10597,1.51954,1.99966,1.4059,0.000465808,0.000465808,0.000465808
3,51.7801,1.48889,1.7989,1.3426,0.5769,0.20046,0.1986,0.11044,1.54102,1.96225,1.45755,0.000694438,0.000694438,0.000694438
4,65.6448,1.49352,1.7315,1.35571,0.36886,0.28077,0.20843,0.10953,1.58879,1.77936,1.47558,0.000692794,0.000692794,0.000692794
5,79.8523,1.44819,1.62559,1.32111,0.47409,0.28503,0.24327,0.13122,1.52258,1.62639,1.43705,0.000685726,0.000685726,0.000685726
6,94.3552,1.41944,1.54813,1.30734,0.49027,0.2699,0.24057,0.13457,1.53632,1.80666,1.45008,0.000678657,0.000678657,0.000678657
7,108.802,1.42507,1.53563,1.30694,0.46668,0.32107,0.27917,0.15254,1.46094,1.62972,1.39883,0.000671588,0.000671588,0.000671588
8,123.31,1.39112,1.45202,1.29452,0.49337,0.27536,0.25822,0.14262,1.48794,1.56741,1.41656,0.00066452,0.00066452,0.00066452
9,137.588,1.38456,1.42996,1.28258,0.47576,0.31757,0.26391,0.14458,1.52537,1.73135,1.45321,0.000657451,0.000657451,0.000657451
10,151.871,1.38379,1.40926,1.28858,0.58128,0.29323,0.27291,0.15664,1.48322,1.55084,1.4052,0.000650383,0.000650383,0.000650383
11,166.031,1.35135,1.32884,1.26396,0.49308,0.37043,0.33772,0.19314,1.44133,1.49758,1.37432,0.000643314,0.000643314,0.000643314
12,180.174,1.36309,1.33356,1.25708,0.35871,0.33774,0.3002,0.16845,1.49853,1.63475,1.42258,0.000636245,0.000636245,0.000636245
13,194.041,1.34623,1.29748,1.25057,0.40044,0.32424,0.30233,0.16904,1.46072,1.42375,1.35808,0.000629177,0.000629177,0.000629177
14,208.299,1.32326,1.25891,1.23227,0.28481,0.3208,0.31213,0.18217,1.4667,1.41978,1.37459,0.000622108,0.000622108,0.000622108
15,222.796,1.32231,1.25001,1.25224,0.32951,0.40413,0.31974,0.17887,1.44379,1.43216,1.3562,0.00061504,0.00061504,0.00061504
16,236.864,1.29168,1.20702,1.22905,0.48938,0.29987,0.33247,0.18591,1.46287,1.36988,1.37417,0.000607971,0.000607971,0.000607971
17,251.157,1.26704,1.18717,1.22318,0.33246,0.32875,0.28728,0.16037,1.46697,1.56159,1.37365,0.000600902,0.000600902,0.000600902
18,265.065,1.25809,1.18067,1.21761,0.33794,0.33277,0.34371,0.19672,1.3973,1.35437,1.33429,0.000593834,0.000593834,0.000593834
19,278.941,1.26339,1.14191,1.21436,0.52695,0.36641,0.35266,0.19884,1.45845,1.34334,1.36647,0.000586765,0.000586765,0.000586765
20,294.279,1.26952,1.09916,1.19916,0.42366,0.36387,0.37376,0.21227,1.43771,1.3015,1.3473,0.000579697,0.000579697,0.000579697
21,309.12,1.2605,1.11795,1.20253,0.48854,0.34619,0.34973,0.19468,1.46636,1.39274,1.39933,0.000572628,0.000572628,0.000572628
22,323.223,1.24732,1.06795,1.2044,0.57431,0.30392,0.34285,0.20033,1.45632,1.38837,1.35935,0.000565559,0.000565559,0.000565559
23,337.255,1.22696,1.05718,1.18551,0.35481,0.37945,0.3474,0.20076,1.46851,1.34953,1.38444,0.000558491,0.000558491,0.000558491
24,351.428,1.22747,1.06157,1.18865,0.55157,0.30452,0.33418,0.19531,1.45396,1.43421,1.37321,0.000551422,0.000551422,0.000551422
25,365.078,1.21306,1.03256,1.18036,0.47885,0.33958,0.34559,0.19336,1.44383,1.30678,1.34303,0.000544354,0.000544354,0.000544354
26,379.121,1.20066,0.99192,1.16367,0.42087,0.36128,0.3479,0.20013,1.44305,1.34902,1.37495,0.000537285,0.000537285,0.000537285
27,393.12,1.18122,1.00081,1.17201,0.53279,0.34554,0.35553,0.20501,1.41916,1.28129,1.33642,0.000530216,0.000530216,0.000530216
28,407.075,1.18923,0.98845,1.16629,0.42097,0.37893,0.34143,0.20064,1.4321,1.31818,1.3568,0.000523148,0.000523148,0.000523148
29,421.573,1.19646,0.96538,1.16905,0.52811,0.36838,0.3778,0.21758,1.41957,1.33208,1.34814,0.000516079,0.000516079,0.000516079
30,435.494,1.16532,0.92956,1.14363,0.49386,0.31336,0.37978,0.2192,1.4594,1.23596,1.36605,0.000509011,0.000509011,0.000509011
31,449.654,1.15265,0.92065,1.14102,0.46275,0.33584,0.35785,0.19904,1.45252,1.3074,1.35729,0.000501942,0.000501942,0.000501942
32,464.125,1.15896,0.92877,1.15074,0.45561,0.35145,0.38551,0.22641,1.43901,1.25017,1.34603,0.000494873,0.000494873,0.000494873
33,478.425,1.12264,0.87997,1.12424,0.43901,0.38824,0.34192,0.19433,1.45168,1.35533,1.36933,0.000487805,0.000487805,0.000487805
34,492.67,1.13028,0.89388,1.12627,0.46553,0.32673,0.36975,0.20831,1.46155,1.26418,1.36481,0.000480736,0.000480736,0.000480736
35,507.334,1.11084,0.87141,1.12169,0.41597,0.37379,0.36744,0.21572,1.47312,1.27625,1.36875,0.000473668,0.000473668,0.000473668
36,521.422,1.11979,0.87125,1.12625,0.58249,0.34095,0.41459,0.21755,1.44189,1.26267,1.35929,0.000466599,0.000466599,0.000466599
37,535.189,1.11383,0.86574,1.12315,0.35646,0.46072,0.38508,0.21965,1.42502,1.21601,1.35434,0.00045953,0.00045953,0.00045953
38,549.513,1.09995,0.83597,1.11678,0.39701,0.42862,0.37662,0.21381,1.45912,1.28345,1.38332,0.000452462,0.000452462,0.000452462
39,563.302,1.09535,0.82503,1.1151,0.36443,0.42205,0.36859,0.21313,1.45441,1.26856,1.36999,0.000445393,0.000445393,0.000445393
40,577.628,1.09395,0.80076,1.10273,0.41104,0.35188,0.34831,0.20546,1.4651,1.36494,1.38962,0.000438325,0.000438325,0.000438325
41,591.484,1.07065,0.83032,1.10082,0.42114,0.38892,0.35669,0.19893,1.43006,1.2902,1.36231,0.000431256,0.000431256,0.000431256
42,605.95,1.06223,0.81094,1.1027,0.50716,0.34541,0.38403,0.2164,1.45231,1.27752,1.37635,0.000424187,0.000424187,0.000424187
