epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.14,1.69896,3.02132,1.53459,0.542,0.20072,0.16664,0.07949,1.61404,2.37987,1.53054,0.000234281,0.000234281,0.000234281
2,464.096,1.64322,2.16121,1.47809,0.41879,0.16663,0.07576,0.03645,1.71707,3.41258,1.74015,0.000425525,0.000425525,0.000425525
3,678.448,1.67076,2.14841,1.54508,0.42188,0.20626,0.12649,0.06191,1.70403,3.67275,1.65007,0.000569646,0.000569646,0.000569646
4,820.636,1.64521,2.05268,1.52375,0.48382,0.19017,0.12534,0.06109,1.6752,2.53509,1.67904,0.000501942,0.000501942,0.000501942
5,968.399,1.60828,1.90696,1.48595,0.47936,0.27341,0.17412,0.0898,1.60726,2.17279,1.59266,0.000431256,0.000431256,0.000431256
6,1113.46,1.53824,1.77275,1.44616,0.55719,0.26915,0.23617,0.13049,1.49645,1.70306,1.46457,0.00036057,0.00036057,0.00036057
7,1261.56,1.50186,1.66749,1.40865,0.59997,0.28789,0.26585,0.15187,1.45919,1.69433,1.45899,0.000289884,0.000289884,0.000289884
8,1412.17,1.44664,1.46644,1.37326,0.61363,0.31675,0.30452,0.17713,1.38197,1.40562,1.40014,0.000219198,0.000219198,0.000219198
9,1566.88,1.38559,1.37817,1.33633,0.67261,0.3193,0.3363,0.20161,1.37384,1.33357,1.36844,0.000148512,0.000148512,0.000148512
10,1710.68,1.35143,1.26555,1.31392,0.58205,0.32216,0.35507,0.21421,1.36235,1.30506,1.37907,7.7826e-05,7.7826e-05,7.7826e-05
