epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0553,1.71523,3.38636,1.56606,0.41564,0.22843,0.18396,0.10311,1.43473,2.99712,1.35469,0.000232465,0.000232465,0.000232465
2,36.8026,1.46226,1.84658,1.30946,0.41706,0.27629,0.20269,0.10597,1.51954,1.99966,1.4059,0.000465808,0.000465808,0.000465808
3,51.4699,1.48889,1.7989,1.3426,0.5769,0.20046,0.1986,0.11044,1.54102,1.96225,1.45755,0.000694438,0.000694438,0.000694438
4,65.4506,1.49352,1.7315,1.35571,0.36886,0.28077,0.20843,0.10953,1.58879,1.77936,1.47558,0.000692794,0.000692794,0.000692794
5,79.7131,1.44819,1.62559,1.32111,0.47409,0.28503,0.24327,0.13122,1.52258,1.62639,1.43705,0.000685726,0.000685726,0.000685726
6,94.4549,1.41944,1.54813,1.30734,0.49027,0.2699,0.24057,0.13457,1.53632,1.80666,1.45008,0.000678657,0.000678657,0.000678657
7,108.887,1.42507,1.53563,1.30694,0.46668,0.32107,0.27917,0.15254,1.46094,1.62972,1.39883,0.000671588,0.000671588,0.000671588
8,123.33,1.39112,1.45202,1.29452,0.49337,0.27536,0.25822,0.14262,1.48794,1.56741,1.41656,0.00066452,0.00066452,0.00066452
9,138.049,1.38456,1.42996,1.28258,0.47576,0.31757,0.26391,0.14458,1.52537,1.73135,1.45321,0.000657451,0.000657451,0.000657451
10,152.863,1.38379,1.40926,1.28858,0.58128,0.29323,0.27291,0.15664,1.48322,1.55084,1.4052,0.000650383,0.000650383,0.000650383
