epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.09,0.54041,2.79227,1.15548,0.33871,0.70397,0.70195,0.45903,1.2867,5.082,2.4583,0.00019992,0.00019992,0.00019992
2,354.901,0.74029,1.30918,1.32,0.57084,0.6772,0.72175,0.43845,1.31193,8.16415,3.89891,0.000366689,0.000366689,0.000366689
3,508.292,0.76976,1.04775,1.30118,0.16394,0.14493,0.10649,0.02454,3.25878,6.26559,5.54635,0.00049246,0.00049246,0.00049246
4,658.837,0.73005,0.81952,1.25569,0.02738,0.09783,0.02431,0.00884,4.22961,13.9446,6.34322,0.000501942,0.000501942,0.000501942
5,823.542,0.74703,0.71442,1.27788,0.31433,0.69565,0.46635,0.22844,1.69996,4.25072,3.16941,0.000431256,0.000431256,0.000431256
6,954.522,0.6519,0.63697,1.18746,0.78062,0.87176,0.88094,0.59906,0.89164,1.33593,1.79776,0.00036057,0.00036057,0.00036057
7,1108.41,0.54997,0.51674,1.11275,0.65741,0.55312,0.68652,0.50392,0.95375,1.83864,1.85869,0.000289884,0.000289884,0.000289884
8,1254.41,0.50895,0.46244,1.08675,0.72216,0.85998,0.92764,0.75198,0.82994,0.89786,1.69628,0.000219198,0.000219198,0.000219198
9,1423.09,0.45659,0.38899,1.03586,0.86641,0.81075,0.92786,0.79088,0.699,0.60503,1.44014,0.000148512,0.000148512,0.000148512
10,1574.85,0.40838,0.34765,1.00616,0.79526,0.92873,0.93723,0.82473,0.67823,0.55748,1.45418,7.7826e-05,7.7826e-05,7.7826e-05
